utt_id	source	method	score	old	new
vertin_01_00001	1	tidy		It 's raining . No , it is not . It 's the storm . The storm is coming .	It's raining. No, it is not. It's the storm. The storm is coming.
vertin_01_00002	1	tidy		Go ahead , please . I 'm not like you , and you know that well . I haven 't been trained systematically for the battle of Ar can um . My class mate , you are a careful reader . I 'll help you out . Don 't worry .	Go ahead, please. I'm not like you, and you know that well. I haven't been trained systematically for the battle of Arcanum. My classmate, you are a careful reader. I'll help you out. Don't worry.
vertin_01_00003	1	tidy		F ifty minutes left . Come on , let 's move . This is found them enemy at your one now . Indeed , you still have forty - five minutes .	Fifty minutes left. Come on, let's move. This is found them enemy at your one now. Indeed, you still have forty - five minutes.
vertin_01_00004	1	tidy		I 'll do my best to help before the storm . Now everyone get ready to break through . Reg ulus , you 're doing this too . Son ato . Ass ist me , please	I'll do my best to help before the storm. Now everyone get ready to break through. Regulus, you're doing this too. Sonetto. Assist me, please
vertin_01_00005	1	tidy		. The breach is behind us . The alley towards King 's Road . [vocal] Any one hurt ?	The breach is behind us. The alley towards King's Road. anyone hurt?
vertin_01_00006	1	tidy		care ful These are different riot ers . The way ahead of us is blocked . Take them down first . Son ato . Keep assisting me , please . She must be in such a rush that she even forgot her stuff . What are you	Careful These are different rioters. The way ahead of us is blocked. Take them down first. Sonetto. Keep assisting me, please. She must be in such a rush that she even forgot her stuff. What are you
vertin_01_00007	1	tidy		going to do after Reg ulus 's registration ? The storm is about to come . you haven 't seen the storm yet right Have you found out where she usually shows up ? And who knows her ?	Going to do after Regulus's registration? The storm is about to come. you haven't seen the storm yet right Have you found out where she usually shows up? And who knows her?
vertin_01_00008	1	tidy		I see . Let 's go , son ato . It 's okay . I have my own mission . Al so in King ly Court .	I see. Let's go, Sonetto. It's okay. I have my own mission. Also in King ly Court.
vertin_01_00009	1	tidy		Are you talking about Reg ulus of the apple ? I 'm her friend . She left something here . Thank you very much for your assistance . Do you like the world outside , Son net	Are you talking about Regulus of the apple? I'm her friend. She left something here. Thank you very much for your assistance. Do you like the world outside, Sonetto
vertin_01_00010	1	tidy		to ? She doesn 't look right . She 's pale . I 'll go check . It 's the mist y bubble ball , you know how to use it , right ? I need your help before that	To? She doesn't look right. She's pale. I'll go check. It's the mist y bubble ball, you know how to use it, right? I need your help before that
vertin_01_00011	1	tidy		. I 'll help you out . I 'll see you in the bookstore on Oxford Street now . Push me , protect your eyes . Sen eto , are	I'll help you out. I'll see you in the bookstore on Oxford Street now. Push me, protect your eyes. Sonetto, are
vertin_01_00012	1	tidy		you still searching ? The storm is coming . If you don 't go back now . It 'll be too late . Ex actly . Isn 't it the bookstore ?	You still searching? The storm is coming. If you don't go back now. It'll be too late. Exactly. Isn't it the bookstore?
vertin_01_00013	1	tidy		The un im pro ved mist y bubble ball has a special scent . Son ata will be here any minute . relax I 'm not going to take you to the foundation . I ask you to go somewhere safe with me . reg ulars	The unimproved mist y bubble ball has a special scent. Sonetto will be here any minute. relax I'm not going to take you to the foundation. I ask you to go somewhere safe with me. reg ulars
vertin_01_00014	1	tidy		I need you to . Bra ve the storm with me . sh h She 's here . I 'm sorry . In ten minutes . You can see something 's weird .	I need you to. Brave the storm with me. Shh She's here. I'm sorry. In ten minutes. You can see something's weird.
vertin_01_00015	1	tidy		Which proves you the one I am looking for . En ough . Stop running . The storm is here . Look at the world . with your own eyes	Which proves you the one I am looking for. Enough. Stop running. The storm is here. Look at the world. with your own eyes
vertin_01_00016	1	tidy		It 's right . It 's just . The end of an era and you survived . You 've bra ved the storm . My experiment succeeded	It's right. It's just. The end of an era and you survived. You've bra ved the storm. My experiment succeeded
vertin_01_00017	1	tidy		. Thanks for your help . Rel ax , regul us . I will tell you , but not here . Say this with me , ne ill o mild e and d ion bon an no ct on	Thanks for your help. Relax, Regulus. I will tell you, but not here. Say this with me, ne ill o mild e and d ion bon an no ct on
vertin_01_00018	1	tidy		. Take my hand , let me tell . Take you into the suitcase . Cl ose your eyes . F ollow me all the way down the road to the depths of the suitcase .	Take my hand, let me tell. Take you into the suitcase. Close your eyes. Follow me all the way down the road to the depths of the suitcase.
vertin_01_00019	1	tidy		A safe place , an ark sailing in the storm , no traces here . A good place for talking . Please allow me to re introdu ce myself . I 'm from st	A safe place, an ark sailing in the storm, no traces here. A good place for talking. Please allow me to reintroduce myself. I'm from st
vertin_01_00020	1	tidy		. Pav lov Foundation . S ame place as the investigators you have met . that 's where we grew up my position is the time keeper People who record the time of the outside world .	Pavlov Foundation. Same place as the investigators you have met. that's where we grew up my position is the Timekeeper People who record the time of the outside world.
vertin_01_00021	1	tidy		that is People who record the beginnings and ends of er as . yes I took this photo several days ago . He was selling the Hoover upright vacuum clean ers in the West End . And thought photos would help his business .	That is People who record the beginnings and ends of eras. yes I took this photo several days ago. He was selling the Hoover upright vacuum cleaners in the West End. And thought photos would help his business.
vertin_01_00022	1	tidy		So he gladly took this . This is Marion Smith . A single mother . She was worried if she could afford their lunch for the weekend .	So he gladly took this. This is Marion Smith. A single mother. She was worried if she could afford their lunch for the weekend.
vertin_01_00023	1	tidy		But still couldn 't give up her dream of being a writer . I met her in a snack bar at 2 a . m . Her one act play about the Trans Antarctica expedition was a real masterpiece . This is Julie . Who once invited me to her house .	But still couldn't give up her dream of being a writer. I met her in a snack bar at 2 a. m. Her one act play about the Trans Antarctica expedition was a real masterpiece. This is Julie. Who once invited me to her house.
vertin_01_00024	1	tidy		Her bedroom wall was full of r ave llo posters . The FIFA World Player of the Year . Who then became the mass idol . That 's the story for a long . L ong time to come . these photos	Her bedroom wall was full of Ravello posters. The FIFA World Player of the Year. Who then became the mass idol. That's the story for a long. L ong time to come. these photos
vertin_01_00025	1	tidy		d ating back as far as nineteen ninety nine That is our time . Our time seems to be going backwards , Reg ulus . From the countdown to millenn ium . The	Dating back as far as nineteen ninety nine That is our time. Our time seems to be going backwards, Regulus. From the countdown to millennium. The
vertin_01_00026	1	tidy		explosion of a super nova in the eight ies . To the unve iling of V HS . and after this I met you . In the nineteen sixt ies . maybe	Explosion of a supernova in the eighties. To the unveiling of V HS. and after this I met you. In the nineteen sixties. maybe
